Проект;Номер дома;Номер квартиры;Тип планировки;Тип планировки 2;Общая площадь, кв,м,;Ссылка на планировку;Комнатность;Тип;Паркинг;Вид из окна;Этаж;Секция;Линия;Студия;Количество сан узлов;Размер сан узла №1;Размер сан узла №2;Размер сан узла №3;Размер сан узла №4;Размер коридора;Гардеробная;Кухня;Количество балконов;Размер балкона №1;Размер балкона №2;Размер балкона №3;Размер балкона №4;Размер балкона №5;Терраса №1;Терраса №2;Терраса №3;Терраса №4;Терраса №5;Жилая площадь за кв,м,;Размер второй комнаты;Размер третьей комнаты;Размер четвертой комнаты;Размер 5 комнаты;Размер 6 комнаты;Размер 7 комнаты;Размер 8 комнаты;Размер 9 комнаты;Ценазакв,м,;Ценазапомещение,тг.;Статус;Дополнительный статус;Дата старта продаж;Дата продажи;ProfitbaseId;ProfitbaseHomeId;ComplexId;Площадь гардеробной1;Площадь гардеробной2;Площадь гардеробной3;Площадь гардеробной4;Совмещенный санузел;Высота потолков;Акция;Угловая;Над проходом
ЖК Яркий;2;73;СТ Г;;29,1;https://drive.google.com/uc?id=1YxO5iXd6AEeGva-oSx055sLqwTsP9Dr4;0;квартира;;;3;2;;да;;4,1;;;;4,3;;;;;;;;;;;;;;20,7;;;;;;;;;;;Свободно;;;;5659269;;;;;;;;;;Нет;Нет
ЖК Яркий;2;74;СТ Б;;25,8;https://drive.google.com/uc?id=1Cle5PZuaQq6wJngSFNxQnkKWz5dJZGWo;0;квартира;;;3;2;;да;;4,3;;;;2,3;1;;;1,1;;;;;;;;;;16,7;;;;;;;;;;;Оформление документов;;;09.01.20;5659270;;;1,4;;;;;;;Нет;Нет
ЖК Яркий;2;75;СТ В;;28,8;https://drive.google.com/uc?id=1qV2-PIh-T5zENOkIjJvvegLYuR3cyHhy;0;квартира;;;3;2;;да;;4,3;;;;3,1;1;;;;;;;;;;;;;19,3;;;;;;;;;;;Свободно;;;;5659271;;;2,1;;;;;;;Нет;Нет
ЖК Яркий;2;76;2 Е;;41,1;https://drive.google.com/uc?id=1__sUXkiB_XLS-xVVYdUbkMJMpXRa71u7;2;квартира;;;3;2;;нет;;4,3;;;;5;;;;0,8;;;;;;;;;;18,6;12,4;;;;;;;;;;Свободно;;;;5659272;;;;;;;;;;Нет;Нет
ЖК Яркий;2;77;2 Д;;37,3;https://drive.google.com/uc?id=16aB84KJHoJH8OrEElJvEEkjIxQcMy9Yr;2;квартира;;;3;2;;нет;;4,4;;;;5,7;;;;;;;;;;;;;;16,6;10,6;;;;;;;;;;Свободно;;;;5659273;;;;;;;;;;Нет;Нет
ЖК Яркий;2;78;2 Г;;36,9;https://drive.google.com/uc?id=1FF5uTf6kambAoElKsYRGNA_7Bl80sGZa;2;квартира;;;4;2;;нет;;4,4;;;;6,3;;;;0,8;;;;;;;;;;14,3;11,1;;;;;;;;;;Не для продажи;;;;5659274;;;;;;;;;;Нет;Нет
ЖК Яркий;2;79;2 Б;;34,1;https://drive.google.com/uc?id=1Ha9BuZeF_pwLfK28FdlRyrLD6EmhZChE;2;квартира;;;4;2;;нет;;3,6;;;;3,6;;;;1,1;;;;;;;;;;14,4;11,4;;;;;;;;;;Не для продажи;;;;5659275;;;;;;;;;;Нет;Нет
ЖК Яркий;2;80;СТ Г;;29,1;https://drive.google.com/uc?id=1YxO5iXd6AEeGva-oSx055sLqwTsP9Dr4;0;квартира;;;4;2;;да;;4,1;;;;4,3;;;;;;;;;;;;;;20,7;;;;;;;;;;;Не для продажи;;;;5659276;;;;;;;;;;Нет;Нет
ЖК Яркий;2;81;СТ Б;;25,8;https://drive.google.com/uc?id=1Cle5PZuaQq6wJngSFNxQnkKWz5dJZGWo;0;квартира;;;4;2;;да;;4,3;;;;2,3;1;;;1,1;;;;;;;;;;16,7;;;;;;;;;;;Не для продажи;;;;5659277;;;1,4;;;;;;;Нет;Нет
ЖК Яркий;2;82;СТ В;;28,8;https://drive.google.com/uc?id=1qV2-PIh-T5zENOkIjJvvegLYuR3cyHhy;0;квартира;;;4;2;;да;;4,3;;;;3,1;1;;;;;;;;;;;;;19,3;;;;;;;;;;;Не для продажи;;;;5659278;;;2,1;;;;;;;Нет;Нет
ЖК Яркий;2;83;2 Е;;41,1;https://drive.google.com/uc?id=1__sUXkiB_XLS-xVVYdUbkMJMpXRa71u7;2;квартира;;;4;2;;нет;;4,3;;;;5;;;;0,8;;;;;;;;;;18,6;12,4;;;;;;;;;;Не для продажи;;;;5659279;;;;;;;;;;Нет;Нет
ЖК Яркий;2;84;2 Д;;37,3;https://drive.google.com/uc?id=16aB84KJHoJH8OrEElJvEEkjIxQcMy9Yr;2;квартира;;;4;2;;нет;;4,4;;;;5,7;;;;;;;;;;;;;;16,6;10,6;;;;;;;;;;Не для продажи;;;;5659280;;;;;;;;;;Нет;Нет
ЖК Яркий;2;85;2 Г;;36,9;https://drive.google.com/uc?id=1FF5uTf6kambAoElKsYRGNA_7Bl80sGZa;2;квартира;;;5;2;;нет;;4,4;;;;6,3;;;;0,8;;;;;;;;;;14,3;11,1;;;;;;;;;;Не для продажи;;;;5659281;;;;;;;;;;Нет;Нет
ЖК Яркий;2;86;2 Б;;34,1;https://drive.google.com/uc?id=1Ha9BuZeF_pwLfK28FdlRyrLD6EmhZChE;2;квартира;;;5;2;;нет;;3,6;;;;3,6;;;;1,1;;;;;;;;;;14,4;11,4;;;;;;;;;;Не для продажи;;;;5659282;;;;;;;;;;Нет;Нет
ЖК Яркий;2;87;СТ Г;;29,1;https://drive.google.com/uc?id=1YxO5iXd6AEeGva-oSx055sLqwTsP9Dr4;0;квартира;;;5;2;;да;;4,1;;;;4,3;;;;;;;;;;;;;;20,7;;;;;;;;;;;Не для продажи;;;;5659283;;;;;;;;;;Нет;Нет
ЖК Яркий;2;88;СТ Б;;25,8;https://drive.google.com/uc?id=1Cle5PZuaQq6wJngSFNxQnkKWz5dJZGWo;0;квартира;;;5;2;;да;;4,3;;;;2,3;1;;;1,1;;;;;;;;;;16,7;;;;;;;;;;;Не для продажи;;;;5659284;;;1,4;;;;;;;Нет;Нет
ЖК Яркий;2;89;СТ В;;28,8;https://drive.google.com/uc?id=1qV2-PIh-T5zENOkIjJvvegLYuR3cyHhy;0;квартира;;;5;2;;да;;4,3;;;;3,1;1;;;;;;;;;;;;;19,3;;;;;;;;;;;Не для продажи;;;;5659285;;;2,1;;;;;;;Нет;Нет
ЖК Яркий;2;90;2 Е;;41,1;https://drive.google.com/uc?id=1__sUXkiB_XLS-xVVYdUbkMJMpXRa71u7;2;квартира;;;5;2;;нет;;4,3;;;;5;;;;0,8;;;;;;;;;;18,6;12,4;;;;;;;;;;Не для продажи;;;;5659286;;;;;;;;;;Нет;Нет
ЖК Яркий;2;91;2 Д;;37,3;https://drive.google.com/uc?id=16aB84KJHoJH8OrEElJvEEkjIxQcMy9Yr;2;квартира;;;5;2;;нет;;4,4;;;;5,7;;;;;;;;;;;;;;16,6;10,6;;;;;;;;;;Не для продажи;;;;5659287;;;;;;;;;;Нет;Нет
ЖК Яркий;2;92;2 Г;;36,9;https://drive.google.com/uc?id=1FF5uTf6kambAoElKsYRGNA_7Bl80sGZa;2;квартира;;;6;2;;нет;;4,4;;;;6,3;;;;0,8;;;;;;;;;;14,3;11,1;;;;;;;;;;Свободно;;;;5659288;;;;;;;;;;Нет;Нет
ЖК Яркий;2;93;2 Б;;34,1;https://drive.google.com/uc?id=1Ha9BuZeF_pwLfK28FdlRyrLD6EmhZChE;2;квартира;;;6;2;;нет;;3,6;;;;3,6;;;;1,1;;;;;;;;;;14,4;11,4;;;;;;;;;;Оформление документов;;;10.01.20;5659289;;;;;;;;;;Нет;Нет
ЖК Яркий;2;94;СТ Г;;29,1;https://drive.google.com/uc?id=1YxO5iXd6AEeGva-oSx055sLqwTsP9Dr4;0;квартира;;;6;2;;да;;4,1;;;;4,3;;;;;;;;;;;;;;20,7;;;;;;;;;;;Бронь;;;10.01.20;5659290;;;;;;;;;;Нет;Нет
ЖК Яркий;2;95;СТ Б;;25,8;https://drive.google.com/uc?id=1Cle5PZuaQq6wJngSFNxQnkKWz5dJZGWo;0;квартира;;;6;2;;да;;4,3;;;;2,3;1;;;1,1;;;;;;;;;;16,7;;;;;;;;;;;Оформление документов;;;09.01.20;5659291;;;1,4;;;;;;;Нет;Нет
ЖК Яркий;2;96;СТ В;;28,8;https://drive.google.com/uc?id=1qV2-PIh-T5zENOkIjJvvegLYuR3cyHhy;0;квартира;;;6;2;;да;;4,3;;;;3,1;1;;;;;;;;;;;;;19,3;;;;;;;;;;;Оформление документов;;;06.01.20;5659292;;;2,1;;;;;;;Нет;Нет
ЖК Яркий;2;97;2 Е;;41,1;https://drive.google.com/uc?id=1__sUXkiB_XLS-xVVYdUbkMJMpXRa71u7;2;квартира;;;6;2;;нет;;4,3;;;;5;;;;0,8;;;;;;;;;;18,6;12,4;;;;;;;;;;Свободно;;;;5659293;;;;;;;;;;Нет;Нет
ЖК Яркий;2;98;2 Д;;37,3;https://drive.google.com/uc?id=16aB84KJHoJH8OrEElJvEEkjIxQcMy9Yr;2;квартира;;;6;2;;нет;;4,4;;;;5,7;;;;;;;;;;;;;;16,6;10,6;;;;;;;;;;Свободно;;;;5659294;;;;;;;;;;Нет;Нет
ЖК Яркий;2;99;2 Г;;36,9;https://drive.google.com/uc?id=1FF5uTf6kambAoElKsYRGNA_7Bl80sGZa;2;квартира;;;7;2;;нет;;4,4;;;;6,3;;;;0,8;;;;;;;;;;14,3;11,1;;;;;;;;;;Свободно;;;;5659295;;;;;;;;;;Нет;Нет
ЖК Яркий;2;100;2 Б;;34,1;https://drive.google.com/uc?id=1Ha9BuZeF_pwLfK28FdlRyrLD6EmhZChE;2;квартира;;;7;2;;нет;;3,6;;;;3,6;;;;1,1;;;;;;;;;;14,4;11,4;;;;;;;;;;Бронь;;;10.01.20;5659296;;;;;;;;;;Нет;Нет
ЖК Яркий;2;101;СТ Г;;29,1;https://drive.google.com/uc?id=1YxO5iXd6AEeGva-oSx055sLqwTsP9Dr4;0;квартира;;;7;2;;да;;4,1;;;;4,3;;;;;;;;;;;;;;20,7;;;;;;;;;;;Свободно;;;;5659297;;;;;;;;;;Нет;Нет
ЖК Яркий;2;102;СТ Б;;25,8;https://drive.google.com/uc?id=1Cle5PZuaQq6wJngSFNxQnkKWz5dJZGWo;0;квартира;;;7;2;;да;;4,3;;;;2,3;1;;;1,1;;;;;;;;;;16,7;;;;;;;;;;;Оформление документов;;;10.01.20;5659298;;;1,4;;;;;;;Нет;Нет
ЖК Яркий;2;103;СТ В;;28,8;https://drive.google.com/uc?id=1qV2-PIh-T5zENOkIjJvvegLYuR3cyHhy;0;квартира;;;7;2;;да;;4,3;;;;3,1;1;;;;;;;;;;;;;19,3;;;;;;;;;;;Свободно;;;;5659299;;;2,1;;;;;;;Нет;Нет
ЖК Яркий;2;104;2 Е;;41,1;https://drive.google.com/uc?id=1__sUXkiB_XLS-xVVYdUbkMJMpXRa71u7;2;квартира;;;7;2;;нет;;4,3;;;;5;;;;0,8;;;;;;;;;;18,6;12,4;;;;;;;;;;Свободно;;;;5659300;;;;;;;;;;Нет;Нет
ЖК Яркий;2;105;2 Д;;37,3;https://drive.google.com/uc?id=16aB84KJHoJH8OrEElJvEEkjIxQcMy9Yr;2;квартира;;;7;2;;нет;;4,4;;;;5,7;;;;;;;;;;;;;;16,6;10,6;;;;;;;;;;Свободно;;;;5659301;;;;;;;;;;Нет;Нет
ЖК Яркий;2;106;2 А;;33,2;https://drive.google.com/uc?id=17TgQ_zoeyHJNMaPf1eIIIrgBqFTtZTrr;2;квартира;;;1;3;;нет;;4,8;;;;3,3;1;;;;;;;;;;;;;13;9,6;;;;;;;;;;Свободно;;;;5659302;;;2,5;;;;;;;Нет;Нет
ЖК Яркий;2;107;СТ А;;23,3;https://drive.google.com/uc?id=1198jayfqXP62s0FTvK0usIVe-WIYwJ-J;0;квартира;;;1;3;;да;;4,1;;;;3;;;;;;;;;;;;;;16,2;;;;;;;;;;;Не для продажи;;;;5659303;;;;;;;;;;Нет;Нет
ЖК Яркий;2;108;2 Г;;35,6;https://drive.google.com/uc?id=19y62_aTGqKIlQcpC3oCcaXVkWIKb_UoB;2;квартира;;;1;3;;нет;;4,4;;;;3,9;1;;;;;;;;;;;;;12,8;11,8;;;;;;;;;;Свободно;;;;5659304;;;2,7;;;;;;;Нет;Нет
ЖК Яркий;2;109;2 Е;;41,3;https://drive.google.com/uc?id=1ICNxMAG2en2LNcADBd6I6xV8y3o9-Mir;2;квартира;;;1;3;;нет;;4,1;;;;5,6;1;;;;;;;;;;;;;14,4;14,6;;;;;;;;;;Свободно;;;;5659305;;;2,6;;;;;;;Нет;Нет
ЖК Яркий;2;110;2 Ж;;46,7;https://drive.google.com/uc?id=1B8ER64RT2c4ZzP823K_4acKROKFES2Za;2;квартира;;;1;3;;нет;;4,1;;;;5,7;1;;;;;;;;;;;;;22,7;11,5;;;;;;;;;;Свободно;;;;5659306;;;2,7;;;;;;;Нет;Нет
ЖК Яркий;2;111;3 Б;;53;https://drive.google.com/uc?id=18Gfju3OfOaVytxo7jlvqWVqke9AmV1Qq;3;квартира;;;1;3;;нет;;2;3,7;;;6,1;1;;;;;;;;;;;;;13,6;8,8;15,4;;;;;;;;;Свободно;;;;5659307;;;3,4;;;;;;;Да;Нет
ЖК Яркий;2;112;3 А;;52,7;https://drive.google.com/uc?id=1IHpitKc5MNW1xt2Vi7cwALe5SFINYh7Q;3;квартира;;;2;3;;нет;;1,6;3,7;;;5,3;1;;;;;;;;;;;;;19;9,7;10,6;;;;;;;;;Свободно;;;;5659308;;;2,8;;;;;;;Нет;Нет
ЖК Яркий;2;113;СТ В;;34,8;https://drive.google.com/uc?id=1iZhJ9Y1wQcdwZ38MktJm06jmCTiVnyap;0;квартира;;;2;3;;да;;4,3;;;;3,1;1;;;;;;;;;;;;;25;;;;;;;;;;;Свободно;;;;5659309;;;2,4;;;;;;;Нет;Нет
ЖК Яркий;2;114;2 Б;;33,4;https://drive.google.com/uc?id=1E50IMB0Vt_irBsmTWBLJQpK1TOpduPC2;2;квартира;;;2;3;;нет;;4,2;;;;3,3;1;;;0,8;;;;;;;;;;13;9,6;;;;;;;;;;Свободно;;;;5659310;;;2,5;;;;;;;Нет;Нет
ЖК Яркий;2;115;СТ Б;;23,8;https://drive.google.com/uc?id=1Hy1ni0BUje9zAlXFFyjQAXyn2eX4h6V_;0;квартира;;;2;3;;да;;4;;;;3;;;;1,1;;;;;;;;;;15,7;;;;;;;;;;;Не для продажи;;;;5659311;;;;;;;;;;Нет;Нет
ЖК Яркий;2;116;2 В;;35,2;https://drive.google.com/uc?id=1d7D4ycI_AgBwIZmqNLaMMlB8k1yqLM0e;2;квартира;;;2;3;;нет;;4;;;;3,9;1;;;;;;;;;;;;;12,8;11,8;;;;;;;;;;Свободно;;;;5659312;;;2,7;;;;;;;Нет;Нет
ЖК Яркий;2;117;1 А;;33,3;https://drive.google.com/uc?id=1o2Fy-rrUepcNpeDpNoN8PbCZ0Jj-PC9l;1;квартира;;;2;3;;нет;;3,5;;;;3,4;1;11;;1,1;;;;;;;;;;11,7;;;;;;;;;;;Свободно;;;;5659313;;;2,6;;;;;;;Нет;Нет
ЖК Яркий;2;118;2 Д;;36,5;https://drive.google.com/uc?id=1jnhffvuHR0XPd1twDD5sxE7cdA8oVWW8;2;квартира;;;2;3;;нет;;4;;;;4,9;;;;0,8;;;;;;;;;;17;9,8;;;;;;;;;;Оформление документов;;;09.01.20;5659314;;;;;;;;;;Нет;Нет
ЖК Яркий;2;119;3 А;;52,7;https://drive.google.com/uc?id=1IHpitKc5MNW1xt2Vi7cwALe5SFINYh7Q;3;квартира;;;3;3;;нет;;1,6;3,7;;;5,3;1;;;;;;;;;;;;;19;9,7;10,6;;;;;;;;;Свободно;;;;5659315;;;2,8;;;;;;;Да;Нет
ЖК Яркий;2;120;СТ В;;34,8;https://drive.google.com/uc?id=1iZhJ9Y1wQcdwZ38MktJm06jmCTiVnyap;0;квартира;;;3;3;;да;;4,3;;;;3,1;1;;;;;;;;;;;;;25;;;;;;;;;;;Свободно;;;;5659316;;;2,4;;;;;;;Нет;Нет
ЖК Яркий;2;121;2 Б;;33,4;https://drive.google.com/uc?id=1E50IMB0Vt_irBsmTWBLJQpK1TOpduPC2;2;квартира;;;3;3;;нет;;4,2;;;;3,3;1;;;0,8;;;;;;;;;;13;9,6;;;;;;;;;;Бронь;;;09.01.20;5659317;;;2,5;;;;;;;Нет;Нет
ЖК Яркий;2;122;СТ Б;;23,8;https://drive.google.com/uc?id=1Hy1ni0BUje9zAlXFFyjQAXyn2eX4h6V_;0;квартира;;;3;3;;да;;4;;;;3;;;;1,1;;;;;;;;;;15,7;;;;;;;;;;;Не для продажи;;;;5659318;;;;;;;;;;Нет;Нет
ЖК Яркий;2;123;2 В;;35,2;https://drive.google.com/uc?id=1d7D4ycI_AgBwIZmqNLaMMlB8k1yqLM0e;2;квартира;;;3;3;;нет;;4;;;;3,9;1;;;;;;;;;;;;;12,8;11,8;;;;;;;;;;Оформление документов;;;10.01.20;5659319;;;2,7;;;;;;;Нет;Нет
ЖК Яркий;2;124;1 А;;33,3;https://drive.google.com/uc?id=1o2Fy-rrUepcNpeDpNoN8PbCZ0Jj-PC9l;1;квартира;;;3;3;;нет;;3,5;;;;3,4;1;11;;1,1;;;;;;;;;;11,7;;;;;;;;;;;Бронь;;;10.01.20;5659320;;;2,6;;;;;;;Нет;Нет
ЖК Яркий;2;125;2 Д;;36,5;https://drive.google.com/uc?id=1jnhffvuHR0XPd1twDD5sxE7cdA8oVWW8;2;квартира;;;3;3;;нет;;4;;;;4,9;;;;0,8;;;;;;;;;;17;9,8;;;;;;;;;;Свободно;;;;5659321;;;;;;;;;;Нет;Нет
ЖК Яркий;2;126;3 А;;52,7;https://drive.google.com/uc?id=1IHpitKc5MNW1xt2Vi7cwALe5SFINYh7Q;3;квартира;;;4;3;;нет;;1,6;3,7;;;5,3;1;;;;;;;;;;;;;19;9,7;10,6;;;;;;;;;Не для продажи;;;;5659322;;;2,8;;;;;;;Да;Нет
ЖК Яркий;2;127;СТ В;;34,8;https://drive.google.com/uc?id=1iZhJ9Y1wQcdwZ38MktJm06jmCTiVnyap;0;квартира;;;4;3;;да;;4,3;;;;3,1;1;;;;;;;;;;;;;25;;;;;;;;;;;Не для продажи;;;;5659323;;;2,4;;;;;;;Нет;Нет
ЖК Яркий;2;128;2 Б;;33,4;https://drive.google.com/uc?id=1E50IMB0Vt_irBsmTWBLJQpK1TOpduPC2;2;квартира;;;4;3;;нет;;4,2;;;;3,3;1;;;0,8;;;;;;;;;;13;9,6;;;;;;;;;;Не для продажи;;;;5659324;;;2,5;;;;;;;Нет;Нет
ЖК Яркий;2;129;СТ Б;;23,8;https://drive.google.com/uc?id=1Hy1ni0BUje9zAlXFFyjQAXyn2eX4h6V_;0;квартира;;;4;3;;да;;4;;;;3;;;;1,1;;;;;;;;;;15,7;;;;;;;;;;;Не для продажи;;;;5659325;;;;;;;;;;Нет;Нет
ЖК Яркий;2;130;2 В;;35,2;https://drive.google.com/uc?id=1d7D4ycI_AgBwIZmqNLaMMlB8k1yqLM0e;2;квартира;;;4;3;;нет;;4;;;;3,9;1;;;;;;;;;;;;;12,8;11,8;;;;;;;;;;Не для продажи;;;;5659326;;;2,7;;;;;;;Нет;Нет
ЖК Яркий;2;131;1 А;;33,3;https://drive.google.com/uc?id=1o2Fy-rrUepcNpeDpNoN8PbCZ0Jj-PC9l;1;квартира;;;4;3;;нет;;3,5;;;;3,4;1;11;;1,1;;;;;;;;;;11,7;;;;;;;;;;;Не для продажи;;;;5659327;;;2,6;;;;;;;Нет;Нет
ЖК Яркий;2;132;2 Д;;36,5;https://drive.google.com/uc?id=1jnhffvuHR0XPd1twDD5sxE7cdA8oVWW8;2;квартира;;;4;3;;нет;;4;;;;4,9;;;;0,8;;;;;;;;;;17;9,8;;;;;;;;;;Не для продажи;;;;5659328;;;;;;;;;;Нет;Нет
ЖК Яркий;2;133;3 А;;52,7;https://drive.google.com/uc?id=1IHpitKc5MNW1xt2Vi7cwALe5SFINYh7Q;3;квартира;;;5;3;;нет;;1,6;3,7;;;5,3;1;;;;;;;;;;;;;19;9,7;10,6;;;;;;;;;Не для продажи;;;;5659329;;;2,8;;;;;;;Да;Нет
ЖК Яркий;2;134;СТ В;;34,8;https://drive.google.com/uc?id=1iZhJ9Y1wQcdwZ38MktJm06jmCTiVnyap;0;квартира;;;5;3;;да;;4,3;;;;3,1;1;;;;;;;;;;;;;25;;;;;;;;;;;Не для продажи;;;;5659330;;;2,4;;;;;;;Нет;Нет
ЖК Яркий;2;135;2 Б;;33,4;https://drive.google.com/uc?id=1E50IMB0Vt_irBsmTWBLJQpK1TOpduPC2;2;квартира;;;5;3;;нет;;4,2;;;;3,3;1;;;0,8;;;;;;;;;;13;9,6;;;;;;;;;;Бронь;;;15.01.20;5659331;;;2,5;;;;;;;Нет;Нет
ЖК Яркий;2;136;СТ Б;;23,8;https://drive.google.com/uc?id=1Hy1ni0BUje9zAlXFFyjQAXyn2eX4h6V_;0;квартира;;;5;3;;да;;4;;;;3;;;;1,1;;;;;;;;;;15,7;;;;;;;;;;;Не для продажи;;;;5659332;;;;;;;;;;Нет;Нет
ЖК Яркий;2;137;2 В;;35,2;https://drive.google.com/uc?id=1d7D4ycI_AgBwIZmqNLaMMlB8k1yqLM0e;2;квартира;;;5;3;;нет;;4;;;;3,9;1;;;;;;;;;;;;;12,8;11,8;;;;;;;;;;Не для продажи;;;;5659333;;;2,7;;;;;;;Нет;Нет
ЖК Яркий;2;138;1 А;;33,3;https://drive.google.com/uc?id=1o2Fy-rrUepcNpeDpNoN8PbCZ0Jj-PC9l;1;квартира;;;5;3;;нет;;3,5;;;;3,4;1;11;;1,1;;;;;;;;;;11,7;;;;;;;;;;;Не для продажи;;;;5659334;;;2,6;;;;;;;Нет;Нет
ЖК Яркий;2;139;2 Д;;36,5;https://drive.google.com/uc?id=1jnhffvuHR0XPd1twDD5sxE7cdA8oVWW8;2;квартира;;;5;3;;нет;;4;;;;4,9;;;;0,8;;;;;;;;;;17;9,8;;;;;;;;;;Не для продажи;;;;5659335;;;;;;;;;;Нет;Нет
ЖК Яркий;2;140;3 А;;52,7;https://drive.google.com/uc?id=1IHpitKc5MNW1xt2Vi7cwALe5SFINYh7Q;3;квартира;;;6;3;;нет;;1,6;3,7;;;5,3;1;;;;;;;;;;;;;19;9,7;10,6;;;;;;;;;Свободно;;;;5659336;;;2,8;;;;;;;Да;Нет
ЖК Яркий;2;141;СТ В;;34,8;https://drive.google.com/uc?id=1iZhJ9Y1wQcdwZ38MktJm06jmCTiVnyap;0;квартира;;;6;3;;да;;4,3;;;;3,1;1;;;;;;;;;;;;;25;;;;;;;;;;;Свободно;;;;5659337;;;2,4;;;;;;;Нет;Нет
ЖК Яркий;2;142;2 Б;;33,4;https://drive.google.com/uc?id=1E50IMB0Vt_irBsmTWBLJQpK1TOpduPC2;2;квартира;;;6;3;;нет;;4,2;;;;3,3;1;;;0,8;;;;;;;;;;13;9,6;;;;;;;;;;Бронь;;;09.01.20;5659338;;;2,5;;;;;;;Нет;Нет
ЖК Яркий;2;143;СТ Б;;23,8;https://drive.google.com/uc?id=1Hy1ni0BUje9zAlXFFyjQAXyn2eX4h6V_;0;квартира;;;6;3;;да;;4;;;;3;;;;1,1;;;;;;;;;;15,7;;;;;;;;;;;Не для продажи;;;;5659339;;;;;;;;;;Нет;Нет
ЖК Яркий;2;144;2 В;;35,2;https://drive.google.com/uc?id=1d7D4ycI_AgBwIZmqNLaMMlB8k1yqLM0e;2;квартира;;;6;3;;нет;;4;;;;3,9;1;;;;;;;;;;;;;12,8;11,8;;;;;;;;;;Свободно;;;;5659340;;;2,7;;;;;;;Нет;Нет
ЖК Яркий;2;145;1 А;;33,3;https://drive.google.com/uc?id=1o2Fy-rrUepcNpeDpNoN8PbCZ0Jj-PC9l;1;квартира;;;6;3;;нет;;3,5;;;;3,4;1;11;;1,1;;;;;;;;;;11,7;;;;;;;;;;;Бронь;;;11.01.20;5659341;;;2,6;;;;;;;Нет;Нет
ЖК Яркий;2;146;2 Д;;36,5;https://drive.google.com/uc?id=1jnhffvuHR0XPd1twDD5sxE7cdA8oVWW8;2;квартира;;;6;3;;нет;;4;;;;4,9;;;;0,8;;;;;;;;;;17;9,8;;;;;;;;;;Оформление документов;;;09.01.20;5659342;;;;;;;;;;Нет;Нет
ЖК Яркий;2;147;3 А;;52,7;https://drive.google.com/uc?id=1IHpitKc5MNW1xt2Vi7cwALe5SFINYh7Q;3;квартира;;;7;3;;нет;;1,6;3,7;;;5,3;1;;;;;;;;;;;;;19;9,7;10,6;;;;;;;;;Свободно;;;;5659343;;;2,8;;;;;;;Да;Нет
ЖК Яркий;2;148;СТ В;;34,8;https://drive.google.com/uc?id=1iZhJ9Y1wQcdwZ38MktJm06jmCTiVnyap;0;квартира;;;7;3;;да;;4,3;;;;3,1;1;;;;;;;;;;;;;25;;;;;;;;;;;Свободно;;;;5659344;;;2,4;;;;;;;Нет;Нет
ЖК Яркий;2;149;2 Б;;33,4;https://drive.google.com/uc?id=1E50IMB0Vt_irBsmTWBLJQpK1TOpduPC2;2;квартира;;;7;3;;нет;;4,2;;;;3,3;1;;;0,8;;;;;;;;;;13;9,6;;;;;;;;;;Оформление документов;;;10.01.20;5659345;;;2,5;;;;;;;Нет;Нет
ЖК Яркий;2;150;СТ Б;;23,8;https://drive.google.com/uc?id=1Hy1ni0BUje9zAlXFFyjQAXyn2eX4h6V_;0;квартира;;;7;3;;да;;4;;;;3;;;;1,1;;;;;;;;;;15,7;;;;;;;;;;;Не для продажи;;;;5659346;;;;;;;;;;Нет;Нет
ЖК Яркий;2;151;2 В;;35,2;https://drive.google.com/uc?id=1d7D4ycI_AgBwIZmqNLaMMlB8k1yqLM0e;2;квартира;;;7;3;;нет;;4;;;;3,9;1;;;;;;;;;;;;;12,8;11,8;;;;;;;;;;Оформление документов;;;16.01.20;5659347;;;2,7;;;;;;;Нет;Нет
ЖК Яркий;2;152;1 А;;33,3;https://drive.google.com/uc?id=1o2Fy-rrUepcNpeDpNoN8PbCZ0Jj-PC9l;1;квартира;;;7;3;;нет;;3,5;;;;3,4;1;11;;1,1;;;;;;;;;;11,7;;;;;;;;;;;Оформление документов;;;10.01.20;5659348;;;2,6;;;;;;;Нет;Нет
ЖК Яркий;2;153;2 Д;;36,5;https://drive.google.com/uc?id=1jnhffvuHR0XPd1twDD5sxE7cdA8oVWW8;2;квартира;;;7;3;;нет;;4;;;;4,9;;;;0,8;;;;;;;;;;17;9,8;;;;;;;;;;Бронь;;;12.01.20;5659349;;;;;;;;;;Нет;Нет
ЖК Яркий;2;154;СТ Г;;33,5;https://drive.google.com/uc?id=1gZRdoSHEhB8wnHXophOz9U0ilNT1vzcK;0;квартира;;;1;4;;да;;4,5;;;;4,1;1;;;;;;;;;;;;;20;;;;;;;;;;;Свободно;;;;5659350;;;4,9;;;;;;;Да;Нет
ЖК Яркий;2;155;3 А;;59,7;https://drive.google.com/uc?id=1gsAICI_vXt-s71UFuIvfcEv0eJBa2uHV;3;квартира;;;1;4;;нет;;1,9;3,8;;;8,2;;13,5;;;;;;;;;;;;11,6;9,7;11;;;;;;;;;Свободно;;;;5659351;;;;;;;;;;Нет;Нет
ЖК Яркий;2;156;3 В;;64,2;https://drive.google.com/uc?id=1S_JFHQyhd5t-UD6U680ox9cKSyp7oTcQ;3;квартира;;;1;4;;нет;;1,9;3,4;;;10;;8,9;;;;;;;;;;;;16,2;11;12,8;;;;;;;;;Свободно;;;;5659352;;;;;;;;;;Нет;Нет
