Проект;Номер дома;Номер квартиры;Тип планировки;Тип планировки 2;Общая площадь, кв,м,;Ссылка на планировку;Комнатность;Тип;Паркинг;Вид из окна;Этаж;Секция;Линия;Студия;Количество сан узлов;Размер сан узла №1;Размер сан узла №2;Размер сан узла №3;Размер сан узла №4;Размер коридора;Гардеробная;Кухня;Количество балконов;Размер балкона №1;Размер балкона №2;Размер балкона №3;Размер балкона №4;Размер балкона №5;Терраса №1;Терраса №2;Терраса №3;Терраса №4;Терраса №5;Жилая площадь за кв,м,;Размер второй комнаты;Размер третьей комнаты;Размер четвертой комнаты;Размер 5 комнаты;Размер 6 комнаты;Размер 7 комнаты;Размер 8 комнаты;Размер 9 комнаты;Ценазакв,м,;Ценазапомещение,тг.;Статус;Дополнительный статус;Дата старта продаж;Дата продажи;ProfitbaseId;ProfitbaseHomeId;ComplexId;Площадь гардеробной1;Площадь гардеробной2;Площадь гардеробной3;Площадь гардеробной4;Совмещенный санузел;Высота потолков;Акция;Угловая;Над проходом
ЖК Яркий;2;62;СТ А;;25,4;https://drive.google.com/uc?id=1GqjrKrnqasku8ASx3nNEZB0OCgwFWVkY;0;квартира;;;1;2;;да;;4,3;;;;2,3;1;;;;;;;;;;;;;17,4;;;;;;;;;;;Не для продажи;;;;5659258;;;1,4;;;;;;;Нет;Нет
ЖК Яркий;2;63;2 Ж;;49,6;https://drive.google.com/uc?id=1LOjcQcBMD8Idtd4k1HYNmlnpiaxuEtfc;2;квартира;;;1;2;;нет;;5;;;;7,6;;;;;;;;;;;;;;18,8;18,2;;;;;;;;;;Свободно;;;;5659259;;;;;;;;;;Нет;Нет
ЖК Яркий;2;64;2 Г;;36,9;https://drive.google.com/uc?id=1FF5uTf6kambAoElKsYRGNA_7Bl80sGZa;2;квартира;;;2;2;;нет;;4,4;;;;6,3;;;;0,8;;;;;;;;;;14,3;11,1;;;;;;;;;;Свободно;;;;5659260;;;;;;;;;;Нет;Нет
ЖК Яркий;2;65;2 Б;;34,1;https://drive.google.com/uc?id=1Ha9BuZeF_pwLfK28FdlRyrLD6EmhZChE;2;квартира;;;2;2;;нет;;3,6;;;;3,6;;;;1,1;;;;;;;;;;14,4;11,4;;;;;;;;;;Оформление документов;;;14.01.20;5659261;;;;;;;;;;Нет;Нет
ЖК Яркий;2;66;СТ Г;;29,1;https://drive.google.com/uc?id=1YxO5iXd6AEeGva-oSx055sLqwTsP9Dr4;0;квартира;;;2;2;;да;;4,1;;;;4,3;;;;;;;;;;;;;;20,7;;;;;;;;;;;Свободно;;;;5659262;;;;;;;;;;Нет;Нет
ЖК Яркий;2;67;СТ Б;;25,8;https://drive.google.com/uc?id=1Cle5PZuaQq6wJngSFNxQnkKWz5dJZGWo;0;квартира;;;2;2;;да;;4,3;;;;2,3;1;;;1,1;;;;;;;;;;16,7;;;;;;;;;;;Оформление документов;;;10.01.20;5659263;;;1,4;;;;;;;Нет;Нет
ЖК Яркий;2;68;СТ В;;28,8;https://drive.google.com/uc?id=1qV2-PIh-T5zENOkIjJvvegLYuR3cyHhy;0;квартира;;;2;2;;да;;4,3;;;;3,1;1;;;;;;;;;;;;;19,3;;;;;;;;;;;Оформление документов;;;14.01.20;5659264;;;2,1;;;;;;;Нет;Да
ЖК Яркий;2;69;2 Е;;41,1;https://drive.google.com/uc?id=1__sUXkiB_XLS-xVVYdUbkMJMpXRa71u7;2;квартира;;;2;2;;нет;;4,3;;;;5;;;;0,8;;;;;;;;;;18,6;12,4;;;;;;;;;;Свободно;;;;5659265;;;;;;;;;;Нет;Да
ЖК Яркий;2;70;2 Д;;37,3;https://drive.google.com/uc?id=16aB84KJHoJH8OrEElJvEEkjIxQcMy9Yr;2;квартира;;;2;2;;нет;;4,4;;;;5,7;;;;;;;;;;;;;;16,6;10,6;;;;;;;;;;Свободно;;;;5659266;;;;;;;;;;Нет;Нет
ЖК Яркий;2;71;2 Г;;36,9;https://drive.google.com/uc?id=1FF5uTf6kambAoElKsYRGNA_7Bl80sGZa;2;квартира;;;3;2;;нет;;4,4;;;;6,3;;;;0,8;;;;;;;;;;14,3;11,1;;;;;;;;;;Свободно;;;;5659267;;;;;;;;;;Нет;Нет
ЖК Яркий;2;72;2 Б;;34,1;https://drive.google.com/uc?id=1Ha9BuZeF_pwLfK28FdlRyrLD6EmhZChE;2;квартира;;;3;2;;нет;;3,6;;;;3,6;;;;1,1;;;;;;;;;;14,4;11,4;;;;;;;;;;Оформление документов;;;10.01.20;5659268;;;;;;;;;;Нет;Нет
