Номер дома;Общая площадь, кв,м,;Комнатность;Этаж;Секция;Линия;Студия;Количество сан узлов;Размер сан узла №1;Тип санузла 1;Размер сан узла №2;Тип санузла 2;Размер коридора;Гардеробная;Кухня;Количество балконов;Размер балкона №1;Размер балкона №2;Размер балкона №3;Жилая площадь за кв,м,;Размер 1-й комнаты;Размер 2-й комнаты;Размер 3-й комнаты;Размер 4-й комнаты;Ценазакв,м,;Ценазапомещение,тг.;Статус;Площадь гардеробных;Месяц продажи;Год продажи;планировка_1;планировка_2
7;45.8;2ккв;9;1;1;0;1.0;4.8;нет данных;0.0;Санузел отсутствует;5.3;0.0;10.6;0.0;0.0;0.0;3.6;23.5;11.6;12.0;0.0;0.0;97991.0;4487987.8;Продажа;0.0;8;2019;У;ДС
7;40.8;2ккв(с);9;1;2;1;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.6;0.0;9.0;2.0;3.6;3.2;3.6;21.9;12.5;9.4;0.0;0.0;104258.0;4253726.4;Продажа;0.0;7;2019;У;НС
7;34.3;1ккв;9;1;3;0;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;115111.0;3948307.3;Продажа;2.7;9;2019;Л;Н
7;33.4;1ккв;9;1;4;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.6;0.0;3.6;12.1;12.1;0.0;0.0;0.0;117413.0;3921594.2;Продажа;2.2;9;2019;Л;Н
7;58.3;2ккв;9;1;5;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;94463.0;5507192.9;Продажа;2.7;8;2019;Р;ДН
7;45.8;2ккв;10;1;1;0;1.0;4.8;нет данных;0.0;Санузел отсутствует;5.3;0.0;10.6;0.0;0.0;0.0;3.6;23.5;11.6;12.0;0.0;0.0;98705.0;4520689.0;Продажа;0.0;8;2019;У;ДС
7;40.8;2ккв(с);10;1;2;1;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.6;0.0;9.0;2.0;3.6;3.2;3.6;21.9;12.5;9.4;0.0;0.0;114149.0;4657279.2;Продажа;0.0;9;2019;У;НС
7;34.3;1ккв;10;1;3;0;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;129895.0;4455398.5;Продажа;2.7;10;2019;Л;Н
7;33.4;1ккв;10;1;4;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.6;0.0;3.6;12.1;12.1;0.0;0.0;0.0;126768.12994012;4234055.54;Продажа;2.2;11;2019;Л;Н
7;58.3;2ккв;10;1;5;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;94690.0;5520427.0;Продажа;2.7;8;2019;Р;ДН
7;45.8;2ккв;11;1;1;0;1.0;4.8;нет данных;0.0;Санузел отсутствует;5.3;0.0;10.6;0.0;0.0;0.0;3.6;23.5;11.6;12.0;0.0;0.0;109212.160043668;5001916.93;Продажа;0.0;11;2019;У;ДС
7;40.8;2ккв(с);11;1;2;1;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.6;0.0;9.0;2.0;3.6;3.2;3.6;21.9;12.5;9.4;0.0;0.0;105751.0;4314640.8;Продажа;0.0;8;2019;У;НС
7;34.3;1ккв;11;1;3;0;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;132812.0;4555451.6;Свободно;2.7;12;2019;Л;Н
7;33.4;1ккв;11;1;4;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.6;0.0;3.6;12.1;12.1;0.0;0.0;0.0;128345.0;4286723.0;Свободно;2.2;12;2019;Л;Н
7;58.3;2ккв;11;1;5;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;94917.0;5533661.1;Продажа;2.7;8;2019;Р;ДН
7;45.8;2ккв;12;1;1;0;1.0;4.8;нет данных;0.0;Санузел отсутствует;5.3;0.0;10.6;0.0;0.0;0.0;3.6;23.5;11.6;12.0;0.0;0.0;100145.0;4586641.0;Продажа;0.0;8;2019;У;ДС
7;40.8;2ккв(с);12;1;2;1;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.6;0.0;9.0;2.0;3.6;3.2;3.6;21.9;12.5;9.4;0.0;0.0;127225.020098039;5190780.82;Продажа;0.0;11;2019;У;НС
7;34.3;1ккв;12;1;3;0;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;133127.0;4566256.1;Свободно;2.7;12;2019;Л;Н
7;33.4;1ккв;12;1;4;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.6;0.0;3.6;12.1;12.1;0.0;0.0;0.0;128649.0;4296876.6;Свободно;2.2;12;2019;Л;Н
7;58.3;2ккв;12;1;5;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;101978.5;5945346.55;Продажа;2.7;11;2019;Р;ДН
7;45.8;2ккв;13;1;1;0;1.0;4.8;нет данных;0.0;Санузел отсутствует;5.3;0.0;10.6;0.0;0.0;0.0;3.6;23.5;11.6;12.0;0.0;0.0;99288.0;4547390.4;Продажа;0.0;8;2019;У;ДС
7;40.8;2ккв(с);13;1;2;1;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.6;0.0;9.0;2.0;3.6;3.2;3.6;21.9;12.5;9.4;0.0;0.0;107205.0;4373964.0;Продажа;0.0;7;2019;У;НС
7;34.3;1ккв;13;1;3;0;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;130699.0;4482975.7;Продажа;2.7;10;2019;Л;Н
7;33.4;1ккв;13;1;4;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.6;0.0;3.6;12.1;12.1;0.0;0.0;0.0;116677.0;3897011.8;Продажа;2.2;8;2019;Л;Н
7;58.3;2ккв;13;1;5;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;95278.0;5554707.4;Продажа;2.7;8;2019;Р;ДН
7;45.8;2ккв;14;1;1;0;1.0;4.8;нет данных;0.0;Санузел отсутствует;5.3;0.0;10.6;0.0;0.0;0.0;3.6;23.5;11.6;12.0;0.0;0.0;109768.0;5027374.4;Продажа;0.0;11;2019;У;ДС
7;40.8;2ккв(с);14;1;2;1;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.6;0.0;9.0;2.0;3.6;3.2;3.6;21.9;12.5;9.4;0.0;0.0;106248.0;4334918.4;Продажа;0.0;8;2019;У;НС
7;34.3;1ккв;14;1;3;0;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;130889.0;4489492.7;Продажа;2.7;10;2019;Л;Н
7;33.4;1ккв;14;1;4;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.6;0.0;3.6;12.1;12.1;0.0;0.0;0.0;129019.0;4309234.6;Свободно;2.2;12;2019;Л;Н
7;58.3;2ккв;14;1;5;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;101771.0;5933249.3;Продажа;2.7;10;2019;Р;ДН
7;89.0;4ккв;15;1;1;0;2.0;4.4;нет данных;1.5;нет данных;11.1;1.0;18.4;3.0;4.2;3.6;3.2;46.7;10.6;11.6;12.0;12.5;102524.0;9124636.0;Продажа;2.1;11;2019;Т;СД
7;34.3;1ккв;15;1;2;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;130665.9;4481840.37;Продажа;2.7;11;2019;Л;Н
7;33.4;1ккв;15;1;3;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.5;0.0;3.6;12.1;12.1;0.0;0.0;0.0;135311.0;4519387.4;Свободно;2.2;12;2019;Л;Н
7;58.3;2ккв;15;1;4;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;104687.0;6103252.1;Продажа;2.7;10;2019;Р;ДН
7;89.0;4ккв;16;1;1;0;2.0;4.4;нет данных;1.5;нет данных;11.1;1.0;18.4;3.0;4.2;4.6;3.2;46.7;10.6;11.6;12.0;12.5;104717.0;9319813.0;Свободно;2.1;12;2019;Т;СД
7;34.3;1ккв;16;1;2;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;135461.0;4646312.3;Свободно;2.7;12;2019;Л;Н
7;33.4;1ккв;16;1;3;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.5;0.0;3.6;12.1;12.1;0.0;0.0;0.0;135500.0;4525700.0;Свободно;2.2;12;2019;Л;Н
7;58.3;2ккв;16;1;4;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;105874.0;6172454.2;Пл. Бронь;2.7;12;2019;Р;ДН
7;89.0;4ккв;17;1;1;0;2.0;4.4;нет данных;1.5;нет данных;11.1;1.0;18.4;3.0;4.2;5.6;3.2;46.7;10.6;11.6;12.0;12.5;102803.64;9149523.96;Продажа;2.1;12;2019;Т;СД
7;34.3;1ккв;17;1;2;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;135651.0;4652829.3;Свободно;2.7;12;2019;Л;Н
7;33.4;1ккв;17;1;3;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.5;0.0;3.6;12.1;12.1;0.0;0.0;0.0;133025.0;4443035.0;Продажа;2.2;10;2019;Л;Н
7;58.3;2ккв;17;1;4;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;98426.0;5738235.8;Продажа;2.7;8;2019;Р;ДН
7;89.0;4ккв;18;1;1;0;2.0;4.4;нет данных;1.5;нет данных;11.1;1.0;18.4;3.0;4.2;6.6;3.2;46.7;10.6;11.6;12.0;12.5;102945.0;9162105.0;Продажа;2.1;11;2019;Т;СД
7;34.3;1ккв;18;1;2;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;135842.0;4659380.6;Свободно;2.7;12;2019;Л;Н
